Date,Open,High,Low,Close,Volume
2023-03-27 00:00:00+07:00,66.0,67.0,64.0,64.0,5900000
2023-03-28 00:00:00+07:00,64.0,66.0,63.0,63.0,9684500
2023-03-29 00:00:00+07:00,64.0,67.0,64.0,67.0,10061500
2023-03-30 00:00:00+07:00,67.0,67.0,65.0,67.0,4305800
2023-03-31 00:00:00+07:00,67.0,68.0,66.0,66.0,6406400
2023-04-03 00:00:00+07:00,66.0,66.0,63.0,66.0,5385400
2023-04-04 00:00:00+07:00,66.0,67.0,64.0,65.0,5782100
2023-04-05 00:00:00+07:00,66.0,71.0,65.0,66.0,45204300
2023-04-06 00:00:00+07:00,66.0,67.0,64.0,64.0,7987600
2023-04-10 00:00:00+07:00,64.0,65.0,63.0,65.0,4307700
2023-04-11 00:00:00+07:00,65.0,70.0,64.0,68.0,22336200
2023-04-12 00:00:00+07:00,69.0,69.0,66.0,67.0,3931700
2023-04-13 00:00:00+07:00,67.0,68.0,65.0,66.0,4700800
2023-04-14 00:00:00+07:00,67.0,68.0,64.0,65.0,13770200
2023-04-17 00:00:00+07:00,65.0,66.0,62.0,64.0,10083700
2023-04-18 00:00:00+07:00,64.0,65.0,62.0,62.0,6771300
2023-04-26 00:00:00+07:00,62.0,65.0,62.0,62.0,10363400
2023-04-27 00:00:00+07:00,63.0,64.0,62.0,63.0,5689900
2023-04-28 00:00:00+07:00,63.0,64.0,62.0,62.0,2855000
2023-05-02 00:00:00+07:00,63.0,64.0,61.0,62.0,11627400
2023-05-03 00:00:00+07:00,63.0,66.0,62.0,63.0,39197200
2023-05-04 00:00:00+07:00,65.0,65.0,62.0,62.0,11369200
2023-05-05 00:00:00+07:00,63.0,63.0,61.0,62.0,14469800
2023-05-08 00:00:00+07:00,63.0,63.0,61.0,61.0,8352800
2023-05-09 00:00:00+07:00,62.0,63.0,61.0,62.0,7441000
2023-05-10 00:00:00+07:00,62.0,63.0,62.0,63.0,1558400
2023-05-11 00:00:00+07:00,63.0,63.0,61.0,62.0,7863400
2023-05-12 00:00:00+07:00,62.0,63.0,61.0,62.0,6962900
2023-05-15 00:00:00+07:00,62.0,62.0,61.0,62.0,1677200
2023-05-16 00:00:00+07:00,62.0,63.0,61.0,61.0,3830500
2023-05-17 00:00:00+07:00,62.0,62.0,61.0,61.0,4663000
2023-05-19 00:00:00+07:00,61.0,61.0,60.0,61.0,3858600
2023-05-22 00:00:00+07:00,61.0,61.0,60.0,60.0,4088100
2023-05-23 00:00:00+07:00,60.0,61.0,59.0,59.0,9998600
2023-05-24 00:00:00+07:00,60.0,61.0,59.0,60.0,6552900
2023-05-25 00:00:00+07:00,61.0,61.0,58.0,58.0,7852100
2023-05-26 00:00:00+07:00,58.0,60.0,57.0,57.0,5522600
2023-05-29 00:00:00+07:00,58.0,59.0,57.0,58.0,2139300
2023-05-30 00:00:00+07:00,58.0,58.0,57.0,58.0,3097700
2023-05-31 00:00:00+07:00,58.0,58.0,55.0,55.0,11323000
2023-06-05 00:00:00+07:00,56.0,60.0,55.0,59.0,17450600
2023-06-06 00:00:00+07:00,59.0,63.0,58.0,62.0,18795000
2023-06-07 00:00:00+07:00,62.0,63.0,60.0,61.0,1397700
2023-06-08 00:00:00+07:00,61.0,61.0,59.0,60.0,5598700
2023-06-09 00:00:00+07:00,60.0,61.0,59.0,60.0,899100
2023-06-12 00:00:00+07:00,61.0,62.0,60.0,60.0,2277900
2023-06-13 00:00:00+07:00,60.0,60.0,54.0,54.0,95412600
2023-06-14 00:00:00+07:00,55.0,56.0,54.0,54.0,11888500
2023-06-15 00:00:00+07:00,54.0,56.0,54.0,55.0,2334500
2023-06-16 00:00:00+07:00,56.0,56.0,54.0,56.0,8644300
2023-06-19 00:00:00+07:00,56.0,56.0,53.0,54.0,6650500
2023-06-20 00:00:00+07:00,54.0,56.0,53.0,55.0,9834200
2023-06-21 00:00:00+07:00,55.0,56.0,54.0,56.0,3370500
2023-06-22 00:00:00+07:00,56.0,56.0,55.0,55.0,2479700
2023-06-23 00:00:00+07:00,55.0,58.0,54.0,54.0,44456000
2023-06-26 00:00:00+07:00,55.0,55.0,54.0,55.0,3430300
2023-06-27 00:00:00+07:00,55.0,55.0,53.0,54.0,5941500
2023-07-03 00:00:00+07:00,54.0,55.0,50.0,51.0,23828000
2023-07-04 00:00:00+07:00,51.0,53.0,50.0,52.0,11610900
2023-07-05 00:00:00+07:00,52.0,52.0,51.0,51.0,2683900
